"Gender","Age","City","Gov_Assistance","Education_Level","Physical_Activity","Breakfast_Frequency","Whole_Grain_Consumption","Dairy_Products_Consumption","Caffeine_Consumption","Fruits_Consumption","Vegetables_Consumption","Fish_Consumption","Food Security Score","Resilience Score","Stress Mindset Score","Mental Distress Score","FC"
"Female","18-22","Irbid","No","High School","2 times","4 times","Never","5 times or more","5 times or more","2 times","1 time","Never",0,15,11,42,"high"
"Male","30-39","Irbid","No","High School","6-7 times","6 or 7 times","5 times or more","2 times","1 time","5 times or more","5 times or more","4 times",0,27,24,24,"high"
"Female","18-22","Amman","Yes","Undergraduate","6-7 times","6 or 7 times","5 times or more","Never","5 times or more","5 times or more","5 times or more","Never",0,29,18,26,"high"
"Female","18-22","Irbid","No","High School","1 time","6 or 7 times","1 time","4 times","3 times","3 times","2 times","1 time",8,22,14,34,"very low"
"Male","18-22","Ajlun","No","High School","3 times","6 or 7 times","5 times or more","4 times","5 times or more","5 times or more","2 times","2 times",0,26,9,22,"high"
"Male","18-22","Amman","No","Undergraduate","2 times","5 times","2 times","5 times or more","5 times or more","3 times","3 times","1 time",0,16,17,33,"high"
"Female","18-22","Amman","No","High School","4 times","Never","2 times","Never","3 times","2 times","1 time","Never",0,19,11,30,"high"
"Female","18-22","Irbid","No","High School","4 times","Never","2 times","Never","3 times","2 times","1 time","Never",0,19,11,30,"high"
"Male","18-22","Aqaba","Yes","High School","3 times","2 times","1 time","3 times","Never","2 times","2 times","2 times",8,11,10,42,"very low"
"Male","18-22","Aqaba","Yes","Undergraduate","1 time","1 time","1 time","3 times","Never","3 times","3 times","1 time",8,8,7,35,"very low"
"Female","18-22","Amman","No","Undergraduate","4 times","1 time","Never","2 times","5 times or more","2 times","3 times","1 time",0,23,15,38,"high"
"Male","18-22","Ajlun","Yes","High School","3 times","3 times","Never","4 times","2 times","3 times","1 time","Never",7,17,16,34,"very low"
"Female","50 and older","Irbid","No","Graduate","1 time","3 times","1 time","2 times","Never","5 times or more","4 times","2 times",0,18,10,28,"high"
"Female","18-22","Amman","No","High School","3 times","6 or 7 times","1 time","4 times","4 times","4 times","2 times","3 times",2,17,8,27,"low"
"Female","18-22","Ajlun","No","Graduate","2 times","4 times","4 times","2 times","2 times","2 times","3 times","1 time",5,22,16,30,"very low"
"Female","18-22","Irbid","No","Undergraduate","4 times","6 or 7 times","2 times","5 times or more","5 times or more","1 time","2 times","Never",0,19,10,30,"high"
"Female","50 and older","Amman","No","Undergraduate","2 times","6 or 7 times","Never","4 times","5 times or more","5 times or more","2 times","1 time",0,13,7,39,"high"
"Female","18-22","Aqaba","No","High School","None","6 or 7 times","3 times","2 times","4 times","1 time","2 times","Never",1,8,24,32,"high"
"Female","18-22","Aqaba","No","High School","4 times","3 times","4 times","5 times or more","3 times","4 times","5 times or more","4 times",0,14,20,33,"high"
"Prefer not to say","18-22","Ajlun","No","High School","4 times","2 times","4 times","1 time","2 times","4 times","5 times or more","1 time",2,12,16,44,"low"
"Female","18-22","Ajlun","Yes","High School","None","4 times","3 times","3 times","4 times","3 times","2 times","Never",3,12,16,30,"low"
"Male","18-22","Irbid","Yes","Undergraduate","4 times","6 or 7 times","5 times or more","5 times or more","Never","5 times or more","4 times","1 time",5,18,9,34,"very low"
"Female","18-22","Ajlun","No","High School","1 time","5 times","Never","5 times or more","3 times","2 times","2 times","Never",2,19,11,44,"low"
"Male","18-22","Aqaba","No","High School","5 times","5 times","4 times","5 times or more","Never","3 times","1 time","Never",8,18,10,30,"very low"
"Male","18-22","Amman","No","High School","4 times","5 times","4 times","4 times","2 times","2 times","1 time","1 time",1,20,15,25,"high"
"Female","18-22","Irbid","No","High School","3 times","3 times","Never","5 times or more","5 times or more","3 times","2 times","Never",0,19,12,29,"high"
"Prefer not to say","18-22","Irbid","Yes","High School","4 times","5 times","Never","5 times or more","5 times or more","3 times","1 time","1 time",6,21,16,39,"very low"
"Male","18-22","Ajlun","No","Undergraduate","5 times","6 or 7 times","5 times or more","5 times or more","3 times","Never","2 times","Never",0,12,12,31,"high"
"Male","18-22","Aqaba","No","High School","6-7 times","Never","2 times","5 times or more","1 time","5 times or more","4 times","2 times",7,23,21,31,"very low"
"Female","18-22","Irbid","No","High School","3 times","5 times","4 times","4 times","5 times or more","5 times or more","4 times","Never",1,12,6,38,"high"
"Female","18-22","Amman","No","Undergraduate","6-7 times","4 times","1 time","3 times","5 times or more","5 times or more","3 times","Never",0,18,16,36,"high"
"Female","18-22","Ajlun","No","Undergraduate","3 times","6 or 7 times","Never","5 times or more","Never","5 times or more","2 times","1 time",0,23,14,30,"high"
"Female","18-22","Aqaba","No","High School","5 times","4 times","5 times or more","5 times or more","3 times","2 times","4 times","Never",4,23,20,32,"low"
"Male","18-22","Aqaba","No","Undergraduate","4 times","6 or 7 times","3 times","4 times","5 times or more","3 times","2 times","1 time",2,21,21,30,"low"
"Female","18-22","Aqaba","No","Undergraduate","5 times","4 times","3 times","5 times or more","5 times or more","4 times","4 times","1 time",0,20,18,31,"high"
"Female","18-22","Irbid","No","High School","3 times","1 time","5 times or more","5 times or more","3 times","5 times or more","3 times","Never",0,27,19,36,"high"
"Female","18-22","Irbid","No","High School","5 times","6 or 7 times","5 times or more","5 times or more","5 times or more","5 times or more","3 times","2 times",3,15,14,36,"low"
"Female","18-22","Aqaba","No","High School","5 times","4 times","Never","4 times","3 times","5 times or more","4 times","Never",0,24,16,22,"high"
"Female","18-22","Amman","No","Undergraduate","3 times","6 or 7 times","3 times","5 times or more","5 times or more","5 times or more","4 times","1 time",0,19,15,32,"high"
"Female","18-22","Amman","No","Undergraduate","6-7 times","6 or 7 times","5 times or more","5 times or more","5 times or more","5 times or more","5 times or more","2 times",0,19,13,28,"high"
"Male","18-22","Ajlun","No","High School","6-7 times","6 or 7 times","5 times or more","5 times or more","1 time","3 times","3 times","1 time",4,20,15,29,"low"
